#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
113,Lithuania,"1,816",+1,78 ,,"1,512",+9,226,16,667,29,"418,368","153,697"
114,Lebanon,"1,745",+5,34 ,,"1,170",+17,541,8,256,5,"129,668","18,998"
115,Slovakia,"1,665",+1,28 ,,"1,464",+3,173,,305,5,"208,966","38,275"
116,Guinea-Bissau,"1,654",+40,24 ,+2,317,,"1,313",5,841,12,"1,500",762
117,Slovenia,"1,585",+4,111 ,,"1,384",,90,,762,53,"100,613","48,396"
118,Zambia,"1,568",+11,22 ,,"1,311",,235,1,85,1,"54,663","2,975"
119,New Zealand,"1,528",+2,22 ,,"1,484",,22,,305,4,"397,470","79,461"
120,Sierra Leone,"1,450",+23,60 ,,961,+18,429,,182,8,,
121,Hong Kong,"1,204",+4,7 ,,"1,105",+1,92,1,161,0.9,"321,498","42,885"
122,Benin,"1,187",+38,19 ,+3,323,+17,845,2,98,2,"56,290","4,645"
123,Tunisia,"1,172",+3,50 ,,"1,029",,93,,99,4,"69,137","5,850"
124,Cabo Verde,"1,165",+10,12 ,,608,+38,545,,"2,095",22,"1,737","3,124"
125,Malawi,"1,152",+6,13 ,,260,,879,4,60,0.7,"13,369",699
126,Yemen,"1,128",+10,304 ,+2,432,+2,392,,38,10,120,4
127,Jordan,"1,128",+7,9 ,,867,+7,252,3,111,0.9,"379,796","37,225"
128,Latvia,"1,117",+1,30 ,,932,,155,1,592,16,"148,777","78,881"
129,Congo,"1,087",,37 ,,456,,594,,197,7,,
130,Niger,"1,075",+1,67 ,,939,,69,,44,3,"6,495",269
131,Rwanda,"1,001",+101,2 ,,443,,556,,77,0.2,"140,249","10,832"
132,Cyprus,996,+2,19 ,,833,,144,,825,16,"155,429","128,738"
133,Burkina Faso,959,,53 ,,830,,76,,46,3,,
134,Uruguay,932,+3,27 ,,822,+4,83,2,268,8,"65,626","18,892"
135,Georgia,926,+2,15 ,,791,+6,120,5,232,4,"101,753","25,507"
136,Mozambique,883,+24,6 ,+1,229,+1,648,,28,0.2,"29,343",939
137,Uganda,870,+11, ,,808,+14,62,,19,,"170,789","3,736"
138,Chad,866,,74 ,,781,+1,11,,53,5,,
139,Andorra,855,,52 ,,799,,4,,"11,066",673,"3,750","48,534"
140,Libya,802,+40,23 ,+2,206,+10,573,,117,3,"26,339","3,834"
141,Eswatini,795,+14,11 ,,380,+8,404,5,685,9,"11,872","10,234"
142,Liberia,770,+2,36 ,+2,312,+14,422,,152,7,,
143,Sao Tome and Principe,713,,13 ,,235,+16,465,,"3,254",59,"1,783","8,137"
144,Diamond Princess,712,,13 ,,651,,48,4,,,,
145,San Marino,698,,42 ,,656,,0,,"20,571","1,238","5,669","167,074"
146,Jamaica,696,+6,10 ,,552,,134,,235,3,"23,881","8,065"
147,Malta,670,,9 ,,639,+3,22,,"1,517",20,"94,564","214,168"
148,Togo,643,+1,14 ,,401,,228,2,78,2,"30,357","3,668"
149,Zimbabwe,574,+7,7 ,+1,152,+10,415,,39,0.5,"67,105","4,515"
150,Channel Islands,571,,47 ,,512,,12,,"3,284",270,"10,255","58,986"
